strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3850.0,MO2403C3850,MO2403P3850,1514.4,0.4,1514.0,0.4
3900.0,MO2403C3900,MO2403P3900,1351.0,0.6,1350.4,0.6
3950.0,MO2403C3950,MO2403P3950,1422.8,0.6,1422.2,0.6
4000.0,MO2403C4000,MO2403P4000,1373.0,0.6,1372.4,0.6
4050.0,MO2403C4050,MO2403P4050,1201.0,0.8,1200.2,0.8
4100.0,MO2403C4100,MO2403P4100,1237.0,0.8,1236.2,0.8
4150.0,MO2403C4150,MO2403P4150,1229.8,0.8,1229.0,0.8
4200.0,MO2403C4200,MO2403P4200,1173.8,1.2,1172.6,1.2
4250.0,MO2403C4250,MO2403P4250,1124.2,1.4,1122.8,1.4
4300.0,MO2403C4300,MO2403P4300,1071.4,1.6,1069.8000000000002,1.6
4350.0,MO2403C4350,MO2403P4350,1020.6,2.2,1018.4,2.2
4400.0,MO2403C4400,MO2403P4400,985.2,2.6,982.6,2.6
4450.0,MO2403C4450,MO2403P4450,929.8,3.4,926.4,3.4
4500.0,MO2403C4500,MO2403P4500,885.0,4.6,880.4,4.6
4550.0,MO2403C4550,MO2403P4550,836.4,5.8,830.6,5.8
4600.0,MO2403C4600,MO2403P4600,785.8,6.8,779.0,6.8
4650.0,MO2403C4650,MO2403P4650,727.0,9.0,718.0,9.0
4700.0,MO2403C4700,MO2403P4700,659.8,11.4,648.4,11.4
4750.0,MO2403C4750,MO2403P4750,602.2,13.8,588.4000000000001,13.8
4800.0,MO2403C4800,MO2403P4800,560.4,18.0,542.4,18.0
4850.0,MO2403C4850,MO2403P4850,518.2,22.0,496.20000000000005,22.0
4900.0,MO2403C4900,MO2403P4900,504.2,28.0,476.2,28.0
4950.0,MO2403C4950,MO2403P4950,437.2,33.6,403.59999999999997,33.6
5000.0,MO2403C5000,MO2403P5000,394.6,41.4,353.20000000000005,41.4
5100.0,MO2403C5100,MO2403P5100,315.8,62.2,253.60000000000002,62.2
5200.0,MO2403C5200,MO2403P5200,243.8,92.6,151.20000000000002,92.6
5300.0,MO2403C5300,MO2403P5300,180.4,131.8,48.599999999999994,131.8
5400.0,MO2403C5400,MO2403P5400,131.0,180.2,49.19999999999999,131.0
5500.0,MO2403C5500,MO2403P5500,91.8,239.0,147.2,91.8
5600.0,MO2403C5600,MO2403P5600,62.4,320.2,257.8,62.4
5700.0,MO2403C5700,MO2403P5700,40.2,399.2,359.0,40.2
5800.0,MO2403C5800,MO2403P5800,25.6,483.2,457.59999999999997,25.6
5900.0,MO2403C5900,MO2403P5900,15.4,541.8,526.4,15.4
6000.0,MO2403C6000,MO2403P6000,9.8,657.8,648.0,9.8
6100.0,MO2403C6100,MO2403P6100,5.2,764.8,759.5999999999999,5.2
6200.0,MO2403C6200,MO2403P6200,2.8,829.8,827.0,2.8
6300.0,MO2403C6300,MO2403P6300,1.4,921.0,919.6,1.4
6400.0,MO2403C6400,MO2403P6400,1.0,1060.0,1059.0,1.0
6500.0,MO2403C6500,MO2403P6500,0.6,1146.0,1145.4,0.6
6600.0,MO2403C6600,MO2403P6600,0.6,1255.0,1254.4,0.6
6800.0,MO2403C6800,MO2403P6800,0.8,1570.0,1569.2,0.8
7000.0,MO2403C7000,MO2403P7000,0.6,1718.4,1717.8000000000002,0.6
7200.0,MO2403C7200,MO2403P7200,0.4,2065.0,2064.6,0.4
7400.0,MO2403C7400,MO2403P7400,0.6,2117.4,2116.8,0.6
7600.0,MO2403C7600,MO2403P7600,0.4,2396.4,2396.0,0.4
7800.0,MO2403C7800,MO2403P7800,0.4,2489.2,2488.7999999999997,0.4
