strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3800.0,MO2406C3800,MO2406P3800,1673.8,1.4,1672.3999999999999,1.4
3900.0,MO2406C3900,MO2406P3900,1574.8,1.4,1573.3999999999999,1.4
4000.0,MO2406C4000,MO2406P4000,1445.6,1.8,1443.8,1.8
4100.0,MO2406C4100,MO2406P4100,1346.0,2.2,1343.8,2.2
4200.0,MO2406C4200,MO2406P4200,1230.2,2.4,1227.8,2.4
4300.0,MO2406C4300,MO2406P4300,1129.6,3.0,1126.6,3.0
4400.0,MO2406C4400,MO2406P4400,1030.0,4.0,1026.0,4.0
4500.0,MO2406C4500,MO2406P4500,976.0,6.6,969.4,6.6
4550.0,MO2406C4550,MO2406P4550,927.6,6.6,921.0,6.6
4600.0,MO2406C4600,MO2406P4600,858.6,8.2,850.4,8.2
4650.0,MO2406C4650,MO2406P4650,821.2,9.8,811.4000000000001,9.8
4700.0,MO2406C4700,MO2406P4700,768.8,12.2,756.5999999999999,12.2
4750.0,MO2406C4750,MO2406P4750,732.8,15.0,717.8,15.0
4800.0,MO2406C4800,MO2406P4800,651.2,19.0,632.2,19.0
4850.0,MO2406C4850,MO2406P4850,600.8,21.8,579.0,21.8
4900.0,MO2406C4900,MO2406P4900,575.0,27.6,547.4,27.6
4950.0,MO2406C4950,MO2406P4950,539.2,33.4,505.80000000000007,33.4
5000.0,MO2406C5000,MO2406P5000,469.4,41.4,428.0,41.4
5100.0,MO2406C5100,MO2406P5100,396.0,56.4,339.6,56.4
5200.0,MO2406C5200,MO2406P5200,323.0,84.0,239.0,84.0
5300.0,MO2406C5300,MO2406P5300,253.6,116.4,137.2,116.4
5400.0,MO2406C5400,MO2406P5400,196.2,159.0,37.19999999999999,159.0
5500.0,MO2406C5500,MO2406P5500,147.0,211.0,64.0,147.0
5600.0,MO2406C5600,MO2406P5600,108.0,269.2,161.2,108.0
5700.0,MO2406C5700,MO2406P5700,78.2,343.0,264.8,78.2
5800.0,MO2406C5800,MO2406P5800,55.6,418.0,362.4,55.6
5900.0,MO2406C5900,MO2406P5900,38.6,505.0,466.4,38.6
6000.0,MO2406C6000,MO2406P6000,27.8,590.8,563.0,27.8
6100.0,MO2406C6100,MO2406P6100,18.0,685.0,667.0,18.0
6200.0,MO2406C6200,MO2406P6200,13.4,734.6,721.2,13.4
6300.0,MO2406C6300,MO2406P6300,9.0,870.6,861.6,9.0
6400.0,MO2406C6400,MO2406P6400,6.6,945.2,938.6,6.6
6600.0,MO2406C6600,MO2406P6600,3.6,1189.8,1186.2,3.6
6800.0,MO2406C6800,MO2406P6800,2.4,1379.0,1376.6,2.4
7000.0,MO2406C7000,MO2406P7000,1.8,1521.8,1520.0,1.8
7200.0,MO2406C7200,MO2406P7200,1.6,1721.2,1719.6000000000001,1.6
7400.0,MO2406C7400,MO2406P7400,1.2,1929.2,1928.0,1.2
