strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4950.0,MO2402C4950,MO2402P4950,510.8,21.2,489.6,21.2
5000.0,MO2402C5000,MO2402P5000,462.8,25.8,437.0,25.8
5100.0,MO2402C5100,MO2402P5100,363.2,39.0,324.2,39.0
5200.0,MO2402C5200,MO2402P5200,284.0,59.0,225.0,59.0
5300.0,MO2402C5300,MO2402P5300,213.8,88.2,125.60000000000001,88.2
5400.0,MO2402C5400,MO2402P5400,154.6,128.4,26.19999999999999,128.4
5500.0,MO2402C5500,MO2402P5500,109.0,180.0,71.0,109.0
5600.0,MO2402C5600,MO2402P5600,74.0,247.0,173.0,74.0
5700.0,MO2402C5700,MO2402P5700,49.2,322.2,273.0,49.2
5800.0,MO2402C5800,MO2402P5800,33.2,405.4,372.2,33.2
5900.0,MO2402C5900,MO2402P5900,22.6,491.0,468.4,22.6
6000.0,MO2402C6000,MO2402P6000,16.0,583.4,567.4,16.0
6100.0,MO2402C6100,MO2402P6100,11.2,672.6,661.4,11.2
6200.0,MO2402C6200,MO2402P6200,8.0,773.0,765.0,8.0
6300.0,MO2402C6300,MO2402P6300,5.6,874.6,869.0,5.6
6400.0,MO2402C6400,MO2402P6400,4.4,966.6,962.2,4.4
6500.0,MO2402C6500,MO2402P6500,3.0,1065.0,1062.0,3.0
6600.0,MO2402C6600,MO2402P6600,3.0,1165.0,1162.0,3.0
6700.0,MO2402C6700,MO2402P6700,2.4,1272.0,1269.6,2.4
6800.0,MO2402C6800,MO2402P6800,2.0,1370.0,1368.0,2.0
6900.0,MO2402C6900,MO2402P6900,1.6,1504.8,1503.2,1.6
