strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2405C4500,MO2405P4500,764.2,9.6,754.6,9.6
4550.0,MO2405C4550,MO2405P4550,755.4,11.2,744.1999999999999,11.2
4600.0,MO2405C4600,MO2405P4600,555.8,15.8,540.0,15.8
4650.0,MO2405C4650,MO2405P4650,544.0,18.2,525.8,18.2
4700.0,MO2405C4700,MO2405P4700,571.6,22.2,549.4,22.2
4750.0,MO2405C4750,MO2405P4750,523.2,28.2,495.00000000000006,28.2
4800.0,MO2405C4800,MO2405P4800,477.6,31.4,446.20000000000005,31.4
4850.0,MO2405C4850,MO2405P4850,445.2,38.8,406.4,38.8
4900.0,MO2405C4900,MO2405P4900,398.4,47.4,351.0,47.4
4950.0,MO2405C4950,MO2405P4950,358.4,59.0,299.4,59.0
5000.0,MO2405C5000,MO2405P5000,316.8,72.0,244.8,72.0
5100.0,MO2405C5100,MO2405P5100,249.4,97.6,151.8,97.6
5200.0,MO2405C5200,MO2405P5200,185.4,136.0,49.400000000000006,136.0
5300.0,MO2405C5300,MO2405P5300,136.0,187.8,51.80000000000001,136.0
5400.0,MO2405C5400,MO2405P5400,96.6,241.0,144.4,96.6
5500.0,MO2405C5500,MO2405P5500,69.0,323.0,254.0,69.0
5600.0,MO2405C5600,MO2405P5600,47.8,401.0,353.2,47.8
5700.0,MO2405C5700,MO2405P5700,33.2,484.0,450.8,33.2
5800.0,MO2405C5800,MO2405P5800,21.2,556.4,535.1999999999999,21.2
5900.0,MO2405C5900,MO2405P5900,13.2,741.4,728.1999999999999,13.2
6000.0,MO2405C6000,MO2405P6000,9.8,727.0,717.2,9.8
6100.0,MO2405C6100,MO2405P6100,6.4,941.0,934.6,6.4
6200.0,MO2405C6200,MO2405P6200,4.6,911.8,907.1999999999999,4.6
6300.0,MO2405C6300,MO2405P6300,3.2,1128.8,1125.6,3.2
