strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3800.0,MO2406C3800,MO2406P3800,1284.8,0.4,1284.3999999999999,0.4
3900.0,MO2406C3900,MO2406P3900,1232.2,0.2,1232.0,0.2
4000.0,MO2406C4000,MO2406P4000,1131.2,0.2,1131.0,0.2
4100.0,MO2406C4100,MO2406P4100,1032.8,0.4,1032.3999999999999,0.4
4200.0,MO2406C4200,MO2406P4200,944.2,0.6,943.6,0.6
4300.0,MO2406C4300,MO2406P4300,846.0,0.8,845.2,0.8
4400.0,MO2406C4400,MO2406P4400,751.2,0.8,750.4000000000001,0.8
4500.0,MO2406C4500,MO2406P4500,589.6,1.2,588.4,1.2
4550.0,MO2406C4550,MO2406P4550,585.2,1.4,583.8000000000001,1.4
4600.0,MO2406C4600,MO2406P4600,551.2,2.4,548.8000000000001,2.4
4650.0,MO2406C4650,MO2406P4650,446.6,3.2,443.40000000000003,3.2
4700.0,MO2406C4700,MO2406P4700,444.6,3.2,441.40000000000003,3.2
4750.0,MO2406C4750,MO2406P4750,405.6,4.8,400.8,4.8
4800.0,MO2406C4800,MO2406P4800,347.8,6.8,341.0,6.8
4850.0,MO2406C4850,MO2406P4850,307.4,9.8,297.59999999999997,9.8
4900.0,MO2406C4900,MO2406P4900,268.0,13.2,254.8,13.2
4950.0,MO2406C4950,MO2406P4950,217.2,18.4,198.79999999999998,18.4
5000.0,MO2406C5000,MO2406P5000,190.4,26.8,163.6,26.8
5100.0,MO2406C5100,MO2406P5100,116.0,51.8,64.2,51.8
5200.0,MO2406C5200,MO2406P5200,61.4,97.6,36.199999999999996,61.4
5300.0,MO2406C5300,MO2406P5300,28.8,165.0,136.2,28.8
5400.0,MO2406C5400,MO2406P5400,11.8,249.0,237.2,11.8
5500.0,MO2406C5500,MO2406P5500,5.2,342.0,336.8,5.2
5600.0,MO2406C5600,MO2406P5600,2.8,463.0,460.2,2.8
5700.0,MO2406C5700,MO2406P5700,2.0,549.0,547.0,2.0
5800.0,MO2406C5800,MO2406P5800,1.6,660.0,658.4,1.6
5900.0,MO2406C5900,MO2406P5900,1.2,788.0,786.8,1.2
6000.0,MO2406C6000,MO2406P6000,1.6,837.4,835.8,1.6
6100.0,MO2406C6100,MO2406P6100,0.8,991.0,990.2,0.8
6200.0,MO2406C6200,MO2406P6200,0.8,1100.4,1099.6000000000001,0.8
6300.0,MO2406C6300,MO2406P6300,0.8,1209.2,1208.4,0.8
6400.0,MO2406C6400,MO2406P6400,0.6,1284.0,1283.4,0.6
6600.0,MO2406C6600,MO2406P6600,0.4,1477.8,1477.3999999999999,0.4
6800.0,MO2406C6800,MO2406P6800,0.8,1659.8,1659.0,0.8
7000.0,MO2406C7000,MO2406P7000,0.4,1859.6,1859.1999999999998,0.4
7200.0,MO2406C7200,MO2406P7200,0.6,2068.2,2067.6,0.6
7400.0,MO2406C7400,MO2406P7400,0.4,2307.6,2307.2,0.4
