strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3800.0,MO2406C3800,MO2406P3800,1284.8,0.4,1284.3999999999999,0.4
3900.0,MO2406C3900,MO2406P3900,1232.2,0.2,1232.0,0.2
4000.0,MO2406C4000,MO2406P4000,1131.2,0.2,1131.0,0.2
4100.0,MO2406C4100,MO2406P4100,1032.8,0.4,1032.3999999999999,0.4
4200.0,MO2406C4200,MO2406P4200,944.2,0.6,943.6,0.6
4300.0,MO2406C4300,MO2406P4300,846.0,0.8,845.2,0.8
4400.0,MO2406C4400,MO2406P4400,751.2,0.8,750.4000000000001,0.8
4500.0,MO2406C4500,MO2406P4500,589.6,1.4,588.2,1.4
4550.0,MO2406C4550,MO2406P4550,585.2,1.4,583.8000000000001,1.4
4600.0,MO2406C4600,MO2406P4600,546.0,2.4,543.6,2.4
4650.0,MO2406C4650,MO2406P4650,446.6,3.0,443.6,3.0
4700.0,MO2406C4700,MO2406P4700,445.2,4.4,440.8,4.4
4750.0,MO2406C4750,MO2406P4750,403.2,6.2,397.0,6.2
4800.0,MO2406C4800,MO2406P4800,347.8,9.0,338.8,9.0
4850.0,MO2406C4850,MO2406P4850,307.4,12.8,294.59999999999997,12.8
4900.0,MO2406C4900,MO2406P4900,256.2,18.6,237.6,18.6
4950.0,MO2406C4950,MO2406P4950,217.2,25.8,191.39999999999998,25.8
5000.0,MO2406C5000,MO2406P5000,166.6,36.4,130.2,36.4
5100.0,MO2406C5100,MO2406P5100,99.0,68.6,30.400000000000006,68.6
5200.0,MO2406C5200,MO2406P5200,51.6,121.2,69.6,51.6
5300.0,MO2406C5300,MO2406P5300,24.4,187.6,163.2,24.4
5400.0,MO2406C5400,MO2406P5400,10.4,276.0,265.6,10.4
5500.0,MO2406C5500,MO2406P5500,4.6,375.0,370.4,4.6
5600.0,MO2406C5600,MO2406P5600,2.8,463.0,460.2,2.8
5700.0,MO2406C5700,MO2406P5700,2.2,561.6,559.4,2.2
5800.0,MO2406C5800,MO2406P5800,1.6,660.0,658.4,1.6
5900.0,MO2406C5900,MO2406P5900,1.2,788.0,786.8,1.2
6000.0,MO2406C6000,MO2406P6000,1.4,858.8,857.4,1.4
6100.0,MO2406C6100,MO2406P6100,0.8,991.0,990.2,0.8
6200.0,MO2406C6200,MO2406P6200,0.8,1100.4,1099.6000000000001,0.8
6300.0,MO2406C6300,MO2406P6300,0.8,1209.2,1208.4,0.8
6400.0,MO2406C6400,MO2406P6400,0.6,1284.0,1283.4,0.6
6600.0,MO2406C6600,MO2406P6600,0.4,1477.8,1477.3999999999999,0.4
6800.0,MO2406C6800,MO2406P6800,0.8,1659.8,1659.0,0.8
7000.0,MO2406C7000,MO2406P7000,0.4,1859.6,1859.1999999999998,0.4
7200.0,MO2406C7200,MO2406P7200,0.6,2068.2,2067.6,0.6
7400.0,MO2406C7400,MO2406P7400,0.4,2307.6,2307.2,0.4
