strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2405C4500,MO2405P4500,1029.0,1.4,1027.6,1.4
4550.0,MO2405C4550,MO2405P4550,980.0,1.4,978.6,1.4
4600.0,MO2405C4600,MO2405P4600,930.8,1.6,929.1999999999999,1.6
4650.0,MO2405C4650,MO2405P4650,880.0,1.6,878.4,1.6
4700.0,MO2405C4700,MO2405P4700,827.0,1.6,825.4,1.6
4750.0,MO2405C4750,MO2405P4750,777.6,1.8,775.8000000000001,1.8
4800.0,MO2405C4800,MO2405P4800,727.8,2.6,725.1999999999999,2.6
4850.0,MO2405C4850,MO2405P4850,679.4,3.4,676.0,3.4
4900.0,MO2405C4900,MO2405P4900,635.8,5.0,630.8,5.0
4950.0,MO2405C4950,MO2405P4950,585.8,6.8,579.0,6.8
5000.0,MO2405C5000,MO2405P5000,538.4,9.4,529.0,9.4
5100.0,MO2405C5100,MO2405P5100,442.0,16.6,425.4,16.6
5200.0,MO2405C5200,MO2405P5200,353.0,28.6,324.4,28.6
5300.0,MO2405C5300,MO2405P5300,278.6,48.6,230.00000000000003,48.6
5400.0,MO2405C5400,MO2405P5400,212.2,76.8,135.39999999999998,76.8
5500.0,MO2405C5500,MO2405P5500,152.8,119.2,33.60000000000001,119.2
5600.0,MO2405C5600,MO2405P5600,106.0,172.0,66.0,106.0
5700.0,MO2405C5700,MO2405P5700,70.0,236.2,166.2,70.0
5800.0,MO2405C5800,MO2405P5800,43.6,314.2,270.59999999999997,43.6
5900.0,MO2405C5900,MO2405P5900,26.4,395.6,369.20000000000005,26.4
6000.0,MO2405C6000,MO2405P6000,15.8,484.0,468.2,15.8
6100.0,MO2405C6100,MO2405P6100,9.0,577.4,568.4,9.0
6200.0,MO2405C6200,MO2405P6200,5.6,676.2,670.6,5.6
6300.0,MO2405C6300,MO2405P6300,3.2,768.2,765.0,3.2
