strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2407C4500,MO2407P4500,400.8,24.0,376.8,24.0
4550.0,MO2407C4550,MO2407P4550,355.0,31.0,324.0,31.0
4600.0,MO2407C4600,MO2407P4600,311.2,38.8,272.4,38.8
4650.0,MO2407C4650,MO2407P4650,276.8,49.6,227.20000000000002,49.6
4700.0,MO2407C4700,MO2407P4700,238.6,62.6,176.0,62.6
4750.0,MO2407C4750,MO2407P4750,199.2,77.8,121.39999999999999,77.8
4800.0,MO2407C4800,MO2407P4800,170.6,95.8,74.8,95.8
4850.0,MO2407C4850,MO2407P4850,143.2,118.8,24.39999999999999,118.8
4900.0,MO2407C4900,MO2407P4900,118.4,143.0,24.599999999999994,118.4
4950.0,MO2407C4950,MO2407P4950,96.6,173.0,76.4,96.6
5000.0,MO2407C5000,MO2407P5000,79.0,203.2,124.19999999999999,79.0
5100.0,MO2407C5100,MO2407P5100,51.2,277.0,225.8,51.2
5200.0,MO2407C5200,MO2407P5200,31.8,359.0,327.2,31.8
5300.0,MO2407C5300,MO2407P5300,20.4,444.0,423.6,20.4
5400.0,MO2407C5400,MO2407P5400,12.4,540.0,527.6,12.4
5500.0,MO2407C5500,MO2407P5500,7.6,637.8,630.1999999999999,7.6
5600.0,MO2407C5600,MO2407P5600,4.8,728.0,723.2,4.8
5700.0,MO2407C5700,MO2407P5700,3.2,821.8,818.5999999999999,3.2
5800.0,MO2407C5800,MO2407P5800,2.2,876.4,874.1999999999999,2.2
5900.0,MO2407C5900,MO2407P5900,1.8,981.4,979.6,1.8
6000.0,MO2407C6000,MO2407P6000,1.8,1126.6,1124.8,1.8
6100.0,MO2407C6100,MO2407P6100,1.6,1170.0,1168.4,1.6
6200.0,MO2407C6200,MO2407P6200,1.6,1168.8,1167.2,1.6
